Alcalá,Alcorcón,Aranjuez,Arganda,Carabaña,Cercedilla,Coslada,Getafe,Griñón,Leganes,Loeches,Móstoles,Parla,Pedrezuela,Pinto,Rascafría,Soto,Tres Cantos,Valdemoro,Villalbilla
386,271,132,114,5,12,97,298,14,309,20,329,3035,9,114,15,14,28,182,24
2357,1631,877,871,30,77,771,2112,97,2110,100,2452,826,705,646,237,565,304,944,176
3852,2894,1219,1284,52,98,1452,3159,171,3317,197,3651,2493,964,1054,425,1181,557,1664,189
56,50,65,22,6,5,19,40,5,61,9,107,60,53,57,45,55,29,17,54
921,555,242,479,18,33,415,726,23,755,31,990,800,37,180,9,25,60,247,36
